customer_id,customer_name,city,phone,email,is_duplicate
1,Yousef Al-Ghamdi,Khobar,9665332181960,,False
2,Huda Al-Otaibi,Dammam,966563794026,huda.al-otaibi@example.com,False
3,Noura Al-Ghamdi,Khobar,9665559407816,noura.al-ghamdi@example.com,False
4,Huda Al-Dosari,Dammam,966534131647,huda.al-dosari@example.com,False
5,Yousef Al-Zahrani,Khobar,966583276483,yousef.al-zahrani@example.com,False
6,Fatimah Al-Otaibi,Jubail,966539537672,,False
7,Omar Al-Zahrani,Riyadh,966553287101,omar.al-zahrani@example.com,False
8,Abdullah Al-Ghamdi,Riyadh,9665784801845,abdullah.al-ghamdi@example.com,False
9,Ahmed Al-Zahrani,Dammam,9665814893252,ahmed.al-zahrani@example.com,False
10,Sara Al-Dosari,Dammam,966591171822,sara.al-dosari@example.com,False
11,Omar Al-Shehri,Dammam,966546578713,,False
12,Omar Al-Harbi,Dammam,,omar.al-harbi@example.com,False
13,Sara Al-Otaibi,Jubail,,sara.al-otaibi@example.com,False
14,Fatimah Al-Qahtani,Riyadh,966563116566,fatimah.al-qahtani@example.com,False
15,Yousef Al-Ghamdi,Khobar,966513338726,yousef.al-ghamdi@example.com,True
16,Sara Al-Mutairi,Dammam,966501326773,sara.al-mutairi@example.com,False
17,Ahmed Al-Shehri,Dammam,9665746872343,ahmed.al-shehri@example.com,False
18,Mona Al-Dosari,Khobar,,mona.al-dosari@example.com,False
19,Omar Al-Qahtani,Khobar,966521913619,omar.al-qahtani@example.com,False
20,Sara Al-Shehri,Dammam,966535346247,sara.al-shehri@example.com,False
21,Ahmed Al-Mutairi,Khobar,,ahmed.al-mutairi@example.com,False
22,Noura Al-Ghamdi,Dammam,9665278498084,noura.al-ghamdi@example.com,False
23,Sara Al-Ghamdi,Dammam,9665493534874,,False
24,Khalid Al-Otaibi,Khobar,9665242786801,khalid.al-otaibi@example.com,False
25,Mohammed Al-Otaibi,Jubail,966562045053,mohammed.al-otaibi@example.com,False
26,Omar Al-Shehri,Al Khobar,966522602563,omar.al-shehri@example.com,False
27,Abdullah Al-Otaibi,Riyadh,966554330365,abdullah.al-otaibi@example.com,False
28,Khalid Al-Dosari,Dammam,9665850142940,khalid.al-dosari@example.com,False
29,Noura Al-Shehri,Dammam,966534060883,noura.al-shehri@example.com,False
30,Noura Al-Dosari,Khobar,966584656482,noura.al-dosari@example.com,False
31,Yousef Al-Qahtani,Dammam,966544369957,yousef.al-qahtani@example.com,False
32,Layla Al-Qahtani,Khobar,9665951343320,layla.al-qahtani@example.com,False
33,Sara Al-Mutairi,Riyadh,966536763201,sara.al-mutairi@example.com,False
34,Mona Al-Mutairi,Khobar,966572788957,mona.al-mutairi@example.com,False
35,Mohammed Al-Mutairi,Riyadh,966548734714,mohammed.al-mutairi@example.com,False
36,Omar Al-Ghamdi,Al Khobar,966523166587,,False
37,Abdullah Al-Otaibi,Riyadh,966546688937,abdullah.al-otaibi@example.com,True
38,Abdullah Al-Dosari,Riyadh,9665729806990,abdullah.al-dosari@example.com,False
39,Layla Al-Qahtani,Khobar,9665537556464,layla.al-qahtani@example.com,True
40,Ahmed Al-Dosari,Dammam,966503309232,ahmed.al-dosari@example.com,False
41,Fatimah Al-Mutairi,Dammam,966599124190,fatimah.al-mutairi@example.com,False
42,Abdullah Al-Shehri,Dammam,,abdullah.al-shehri@example.com,False
43,Sara Al-Zahrani,Khobar,9665905865185,sara.al-zahrani@example.com,False
44,Sara Al-Shehri,Jubail,966526284987,sara.al-shehri@example.com,False
45,Khalid Al-Dosari,Dammam,9665147379965,khalid.al-dosari@example.com,True
46,Layla Al-Harbi,Jubail,966549480831,layla.al-harbi@example.com,False
47,Fatimah Al-Mutairi,Riyadh,966514363495,fatimah.al-mutairi@example.com,False
48,Mona Al-Dosari,Jubail,966544313518,mona.al-dosari@example.com,False
49,Khalid Al-Zahrani,Khobar,9665435240824,khalid.al-zahrani@example.com,False
50,Mona Al-Qahtani,Riyadh,966594777520,mona.al-qahtani@example.com,False
51,Sara Al-Shehri,Riyadh,,sara.al-shehri@example.com,False
52,Mohammed Al-Zahrani,Khobar,966586999386,mohammed.al-zahrani@example.com,False
53,Huda Al-Shehri,Dammam,966591334123,huda.al-shehri@example.com,False
54,Abdullah Al-Mutairi,Riyadh,966544713493,,False
55,Mohammed Al-Zahrani,Al Khobar,,mohammed.al-zahrani@example.com,False
56,Mona Al-Zahrani,Riyadh,9665464887719,mona.al-zahrani@example.com,False
57,Huda Al-Zahrani,Khobar,966590490278,huda.al-zahrani@example.com,False
58,Huda Al-Shehri,Riyadh,966556551256,huda.al-shehri@example.com,False
59,Omar Al-Otaibi,Riyadh,9665451680876,omar.al-otaibi@example.com,False
60,Layla Al-Mutairi,Khobar,966524771093,layla.al-mutairi@example.com,False
61,Abdullah Al-Otaibi,Riyadh,966554330365,abdullah.al-otaibi@example.com,True
62,Fatimah Al-Otaibi,Jubail,966539537672,,True
63,Yousef Al-Ghamdi,Khobar,966513338726,yousef.al-ghamdi@example.com,True
64,Abdullah Al-Mutairi,Riyadh,966544713493,,True
65,Yousef Al-Ghamdi,Khobar,966513338726,yousef.al-ghamdi@example.com,True
