customer_id,customer_name,city,phone,email
1,Yousef Al-Ghamdi,Khobar,05332181960,
2,Huda Al-Otaibi, Dammam,+966563794026,huda.al-otaibi@example.com
3,Noura Al-Ghamdi,khobar,05559407816,noura.al-ghamdi@example.com
4,Huda Al-Dosari,Dammam,+966534131647,huda.al-dosari@example.com
5,Yousef Al-Zahrani,khobar,+966583276483,yousef.al-zahrani@example.com
6,Fatimah Al-Otaibi,Jubail,+966539537672,
7,Omar Al-Zahrani,Riyadh,966553287101,omar.al-zahrani@example.com
8,Abdullah Al-Ghamdi,Riyadh,05784801845,abdullah.al-ghamdi@example.com
9,Ahmed Al-Zahrani, Dammam,05814893252,ahmed.al-zahrani@example.com
10,Sara Al-Dosari,dammam,05 91171822,sara.al-dosari@example.com
11,OMAR AL-SHEHRI,Dammam,966546578713,
12,Omar Al-Harbi,Dammam,,omar.al-harbi@example.com
13,Sara Al-Otaibi,Jubail,,sara.al-otaibi@example.com
14,Fatimah Al-Qahtani,Riyadh ,05 63116566,fatimah.al-qahtani@example.com
15,Yousef Al-Ghamdi,Khobar,966513338726,yousef.al-ghamdi@example.com
16,Sara Al-Mutairi, Dammam,05 01326773,sara.al-mutairi@example.com
17,Ahmed Al-Shehri,dammam,05746872343,ahmed.al-shehri@example.com
18,Mona Al-Dosari,Khobar,,mona.al-dosari@example.com
19,OMAR AL-QAHTANI,Khobar,966521913619,omar.al-qahtani@example.com
20,Sara Al-Shehri, Dammam,+966535346247,sara.al-shehri@example.com
21,Ahmed Al-Mutairi,khobar,,ahmed.al-mutairi@example.com
22,Noura Al-Ghamdi,Dammam,05278498084,noura.al-ghamdi@example.com
23,Sara Al-Ghamdi, Dammam,05493534874,
24,Khalid Al-Otaibi,Khobar,05242786801,khalid.al-otaibi@example.com
25,Mohammed Al-Otaibi,Jubail,966562045053,mohammed.al-otaibi@example.com
26,Omar Al-Shehri,AL KHOBAR,+966522602563,omar.al-shehri@example.com
27,Abdullah Al-Otaibi,Riyadh ,+966554330365,abdullah.al-otaibi@example.com
28,Khalid Al-Dosari, Dammam,05850142940,khalid.al-dosari@example.com
29,Noura Al-Shehri, Dammam,+966534060883,noura.al-shehri@example.com
30,Noura Al-Dosari,khobar,966584656482,noura.al-dosari@example.com
31,Yousef Al-Qahtani,dammam,05 44369957,yousef.al-qahtani@example.com
32,Layla Al-Qahtani,khobar,05951343320,layla.al-qahtani@example.com
33,Sara Al-Mutairi,Riyadh,05 36763201,sara.al-mutairi@example.com
34,Mona Al-Mutairi,Khobar,05 72788957,mona.al-mutairi@example.com
35,Mohammed Al-Mutairi,Riyadh ,966548734714,mohammed.al-mutairi@example.com
36,Omar Al-Ghamdi,AL KHOBAR,05 23166587,
37,Abdullah Al-Otaibi,Riyadh,966546688937,abdullah.al-otaibi@example.com
38,Abdullah Al-Dosari,Riyadh,05729806990,abdullah.al-dosari@example.com
39,Layla Al-Qahtani,Khobar,05537556464,layla.al-qahtani@example.com
40,Ahmed Al-Dosari,Dammam,05 03309232,ahmed.al-dosari@example.com
41,Fatimah Al-Mutairi,dammam,+966599124190,fatimah.al-mutairi@example.com
42,Abdullah Al-Shehri,Dammam,,abdullah.al-shehri@example.com
43,Sara Al-Zahrani,khobar,05905865185,sara.al-zahrani@example.com
44,Sara Al-Shehri,Jubail,05 26284987,sara.al-shehri@example.com
45,Khalid Al-Dosari,Dammam,05147379965,khalid.al-dosari@example.com
46,Layla Al-Harbi,Jubail,966549480831,layla.al-harbi@example.com
47,Fatimah Al-Mutairi,Riyadh ,05 14363495,fatimah.al-mutairi@example.com
48,Mona Al-Dosari,Jubail,966544313518,mona.al-dosari@example.com
49,Khalid Al-Zahrani,khobar,05435240824,khalid.al-zahrani@example.com
50,Mona Al-Qahtani,Riyadh ,+966594777520,mona.al-qahtani@example.com
51,Sara Al-Shehri,Riyadh ,,sara.al-shehri@example.com
52,Mohammed Al-Zahrani,khobar,05 86999386,mohammed.al-zahrani@example.com
53,Huda Al-Shehri,dammam,966591334123,huda.al-shehri@example.com
54,Abdullah Al-Mutairi,Riyadh ,05 44713493,
55,Mohammed Al-Zahrani,AL KHOBAR,,mohammed.al-zahrani@example.com
56,Mona Al-Zahrani,Riyadh ,05464887719,mona.al-zahrani@example.com
57,Huda Al-Zahrani,Khobar,05 90490278,huda.al-zahrani@example.com
58,Huda Al-Shehri,Riyadh ,05 56551256,huda.al-shehri@example.com
59,Omar Al-Otaibi,Riyadh ,05451680876,omar.al-otaibi@example.com
60,LAYLA AL-MUTAIRI,Khobar,966524771093,layla.al-mutairi@example.com
61,Abdullah Al-Otaibi,Riyadh ,+966554330365,abdullah.al-otaibi@example.com
62,Fatimah Al-Otaibi,Jubail,+966539537672,
63,Yousef Al-Ghamdi,Khobar,966513338726,yousef.al-ghamdi@example.com
64,Abdullah Al-Mutairi,Riyadh ,05 44713493,
65,Yousef Al-Ghamdi,Khobar,966513338726,yousef.al-ghamdi@example.com
